Id,Review,Label
85650,"Amazing course. I loved each lesson, the examples, the methodology, the teacher is Amazing!!! (Feel like we're friends now!) Very easy to follow exercises and achievable assignments.",5
85651,"Great teacher! Entertaining, easy and fast way to learn Pro Tools! She's Awesome!!! :D",5
85652,"Great course with a fantastic teacher who kept every lesson easy to understand and interesting. Thank you for this course, it was really useful!",5
85653,"I came into this class with already quite a bit of self-taught experience with Pro Tools. I think this course provided an excellent foundation with the software. It covered the full arc of getting started, learning the fundamentals, and then concluding with a final project that incapsulated many different skills and functionalities in order to present a final production of a song. You have to put in the work but if you follow through on the instructions carefully, I think you'll be rewarded. Chrissy is a compelling and adept explainer of things and she also peppers in some good fun and humor along the way. It's clear that she's very knowledgeable and navigates through Pro Tools with ease (keyboard short cuts are vital).My main goal here was to make my workflow much more organized, smooth, and structured while also becoming much more confident in my mixing abilities. Chrissy explains in very simple and clear terms how to accomplish these tasks which left me feeling satisfied. Good job!",5
85654,Great!!!,5
85655,"The course may be called Pro Tools Basics but this requires also basic audio knowledge. It shouldn't be explaining about microphones and how to connect an XLR cable.Also it was more a course on how to compose electronic music on Pro Tools rather than using Pro Tools for recording and editing. I mean not so many people use Pro Tools for composing. Pro Tools is a global standard for recording, editing, mixing and mastering. I was waiting to learn more things on these topics and not on EDM...P.S.I really like EDM but this shouldn't be the main focus of the course!",3
85656,Great course with all the basics covered and clearly explained with good examples.,5
85657,"Great Course. I wish there was more lessons as to how to record acoustic instruments (guitar, piano,drums). I did not know anything about Pro Tools before course, and now I am able to setup a simple recording session. thanks",4
85658,"Although it is a very informative class and Chrissy is a good teacher, I am finding this class to be EXTREMELY troublesome unless one possesses the means to purchase a great deal of equipment and product to work within Pro Tools. It should be noted that Pro Tools First (the ""FREE"" version I downloaded) is a DETRIMENT to learning in this course and will effect your grade negatively. I am also dismayed by the lack of community participation in the forums. On other Berklee / Coursera classes, this hasn't been nearly as much of a problem.",2
85659,Full of great information!,5
85660,Very nice basic course. Pretty understandable.,5
85661,"The reason why I gave one star is because I don't think its content is completely related to its title. This course is very similar to music production but using only pro tools.If you are looking to learn more about music production using pro tools, then this is an awesome course but if you already have some background in music production and you just want to learn pro tools basics, then I don't think this is an appropriate course (in my opinion).",1
85662,Some creative stereo FX will be better for the course,4
85663,"Top quality. I have read many instructions manuals on Pro Tools, and too many poor YouTube videos. I have learned more in this course than in all of my other investigations and studies put together. Clear, concise, and understandable. It gets to the essence of understanding and being able to use Pro Tools. Avid should hire Chrissy Tignor-Fisher. Excellent instructor! Please consider an advanced course in the future!",5
85664,"Excelent.The basics of Pro Tools; but also the basics of elementary concepts of audio and music production. The teacher is awesome, super understandable.With just this course you are set up and ready to go on the Pro Tools journey on your own.",5
85665,It's a wonderful course. You learn from people who knows how to teach you.,5
85666,Complicated things made so easy to understand!,4
85667,Very Good Course!,5
85668,Very good course explained in a clear and nice way!,5
85669,This course is a good shortcut to start Music Production using Pro Tools. Practical tips and relevant information.,5
85670,THIS IS THE BEST CURSE I TAKE THANKS TO ALL COURSERA AND BERKLEEE TO MAKE THIS POSIBLE FORM SOUTH AMERICA THANKS TO ALL I REQUEST U CAN MAKE TOO PROTOOLS BASIC MIXING AND MASTERING COURSE PLEASE,5
85671,"Berkelee's Pro Tools Basics is one of the best courses I've taken here. Chrissy Tignor-Fisher is a wonderful teacher. She is very knowledgable and explains everything clearly, with an encouraging and inspiring attitude. The lecture videos are top-notch, with excellent presentation quality and tons of relevant information. Course assignments provide plenty of creative learning opportunities. Last but definitely not least, the peers in this course are so supportive, kind, and talented. It's been a joy to be a part of this course. Highly recommended to everyone! *****",5
85672,"An absolute joy! Chrissy has a wonderful presentation style and an ability to explain in detail without patronising the student. The best Pro Tools course I have undertaken, and the first Coursera course I have felt comfortable actually submitting work to.I would be eager to follow any other Pro Tools courses presented by Chrissy.",5
85673,I have big expectations with this course !!,5
85674,She is so lovely.. She's an amazing instructor..,5
85675,Thanks a lot! :-),5
85676,Very good tool to get introduced into the serious DAW world. Recommended!,5
85677,"This class has been the best Pro Tools course I have studied .Chrissy Tignor-Fisher has put together an incredible progressive lesson plan . The video lessons are top notch . The quality of audio and visual are crystal clear . The information is presented and demonstrated with such clarity it keeps you wanting to learn more . Chrissy I,m at week 4 of your 5 week Basic Pro Tools course . I took the class so I can really start tapping into the power of Pro Tools and get my studying habits back up to par . Yes there are assignments and deadlines through out this course . Thanks to the Coursera and Berklee Team for providing this platform of education . I look forward to participating in more courses provided by Coursera.",5
85678,"Good and quite extensive course. The only drawback I find is the language diversification. Some teachers use English and some Spanish, with opposite subtitles. If I were the organizer, I would suggest video classes in Spanish (as the teachers seem more fluent) with English subtitles, given that Spanish is the 2nd language and English the 3rd. Text classes in Spanish and English alike. Greetings to the excellent teachers and thank you very much.",4
85679,"Great instructor, awesome insight on dealing with details while project managing.",5
85680,A great course with a great amount of detail.,4
85681,All you need to know about project management is in this course.,5
85682,Great course! Very recommended.,5
85683,Great experience. Course is concise & precise.,4
85684,"Its good course, I have learned allot.",5
85685,"The course has very nice and easy to follow content for a beginner. I think it could be even better if two small problems are addressed. First, in the lecture videos some slides are to fast and I had to pause or go back several times. Second, the course content is not equally distributed among the 4 weeks.",5
85686,"Wonderful, useful information, Slides were very useful. it would be good if it could slow down just a bit.",4
85687,Very interesting approach for begginers.,5
85688,Project Management: The Basics for SuccessCongratulations on the platformCongratulations on the administrative order of the courseCongratulations on the Success of the Course,5
85689,good course,3
85690,It's very useful for basic PM.,4
85691,Really great course! Thanks for it!,5
85692,This course its great,5
85693,LOVED IT.. LEARNED MANY THINGS ABOUT PMP,5
85694,"Rob, You are the best teacher I have ever had!",5
85695,great course,5
85696,"Actually, It's a perfect simple Course for the Introduction of the Project Management.",4
85697,Very useful course if you translate in other languages then more people take benefit from the course.i would like to recommend this course must be translated in urdu,4
85698,"Good content,",5
85699,I enjoyed a lot with the course. Very nice study.,5
85700,Was quite a good experience but in my opinion this course is for individuals working in the field.,4
85701,It is a great overview of the basics for project management. I recommend.,5
85702,Good introduction to PM,5
85703,Very good introduction course with easy to follow examples.,5
85704,this course is very rich and will help me manage efficiently all the project i have,5
85705,Awesome experience,5
85706,Great course. Aside from the Career Success specialization I am looking into a Project Management specialization. This course has really given me an indicator of what my next continued education specialization will be. Thank you.,5
85707,Fantastic course. Properly presented,5
85708,"Great content, good pace. I like the lecture with the visuals and the slides to review after the lecture.",5
85709,"Very clear, and a lot of useful information. Thanks!",5
85710,This course has revolutionized my thinking about every task I need to accomplish. It should be introduced to students as soon as they reach middle school.,5
85711,The class and the content is very good! But the way that the professor teachs is kind of boring for me.,3
85712,"Very informative, considering it is a basic introductory class",4
85713,Very interesting and useful course.,5
85714,"I have learnt a lot from course it will help me to gain and apply knowledge and understanding of personal and professional awareness, organization and commitment, and use the tools, methods and techniques that I have learned in goal setting, prioritization, scheduling, and delegation to overcome time management challenges and enhance productivity managing people and teams and how to manage a project to whole and also will help me to offers skills and knowledge I desperately needed.I would like to thank Prof. Rob Stone for providing me this opportunity to learn and do this course. Amazing tutor, really appreciate. And many thanks to University of California, Irvine for coming up with this amazing course and most importantly providing me financial aid where I was able to complete this course.",5
85715,"The course was an interesting experience for me because I adquired primary and new knowledg about the projects, its principles and the correct way to approach them from the beginning.The teacher, the material, the pace at which the course was conducted were great",5
85716,"Very interesting course that gave me an excellent overview of the project management process. But, I would have liked more practice with a capstone project for example!",4
85717,Very basic. The structure is odd; the last week contains more material than the rest of the course put together.,3
85718,Great introductory overview of the subject. Highly recommended.,5
85719,A quick and essential course for everybody who wants to review the basics of project management.,5
85720,The first three weeks are totally trivial. I hardly doubt that anyone learns something except how certain practices are called. (Maybe good for school students.) Week 4 is better. I recommend the lecturer to improve the previous weeks and to redistribute some of the contents of week four. Some real-world examples which point out typical mistakes or give useful hints would be welcome in the first three weeks as well.,1
85721,Amazing course with great facilitator.,5
85722,It was efficient and effective.,4
85723,very helpful!,5
85724,"It is good, very basic course giving the overview of the most important subjects in project management. Good as a starting point.",3
85725,this course is useful for all peoples who wants to be unique in their projects,5
85726,Good course.,5
85727,From my point of view this course was excellent. I really recommend.,5
85728,Excellent introduction to project management basics,5
85729,Thanks for providing such a great learning experience.,5
85730,Very informative,5
85731,Very helpful.,5
85732,Very informative and quite a lot of fun!,5
85733,Informative. Good introduction to basics in Project Management. Might have been helpful to have more case studies.,3
85734,I really liked this course and it covered a range of topics for Project Success and basic principles. The instructor did an excellent job making the concepts down to earth and with real world applicable scenarios. It helped me identify the concept and process it better.,5
85735,Very easy to understand!,3
85736,I would have like it if they could provide free graded assessment to non-certificate students; and make option for certification,3
85737,The course is an excellent introduction for someone like me with no previous experience or knowledge of project management.,5
85738,This is a really interesting courses to get into project management.It is the perfect step 1 to those who wish to get step 10 one day.Thank you for this opportunity.,5
85739,"Excelente curso, parabéns a todos os envolvidos. Parabéns ao professor que muita sabedoria soube explanar um conteúdo tão enriquecedor.Excellent course, congratulations to all involved. Congratulations to the teacher who knew how to explain such enriching content.",5
85740,Very good and informative course for beginners.,5
85741,"Amazing course! Very didactic, easy to understand and enlightening. Great teacher.",5
85742,Very organized course and ppt demonstration. It would be great if there are more reference links for further/deep understanding.,5
85743,"Super overview of project management from start to finish and how to deliver successful project on time, on budget, and with desired quality along with ways to deal with technical and member issues a",5
85744,"Excellent course, the teacher develops really well his contents besides being really nice and captivating during his lessons. I'd recommend this course 100% to anyone willing to get a solid foundation on project management.",5
85745,"I indeed acquired a detailed set of structured knowledge from a very practical perspective, this has given me a different perception and better approach to translate actions and activities around me especially in projects.Special thanks to Coursera",5
85746,This was a remarkable programme,4
85747,Presents the basics in a clear way.,4
85748,"It's a shame that almost all courses are to be paid for nowadays. For one, I am not paying for it, many will follow...",1
85749,Thank you.-,5
85750,"Not bad, the professor is very comunicative but I expected a bit more of contents",3
85751,"Great beginning, I like the pace of the course. 4 weeks good time to start. Nice explanation, brief and concise.",5
85752,Good content but the communication is not so great.,3
85753,Simple and yet informative.,4
85754,"The course is practical, insperational and well organize. The material are",5
85755,Great beginning to the topic of Project Management. Excellent examples to support theory.,5
85756,Well enough foundation course for the beginner...........,5
85757,"It was very well lead by Mr. Rob Stone , PPT were very specific and precise. evaluation was very encouraging.Thank you!RegardsSuresh",5
85758,I loved the course and the professor's didacticism! I hope more courses like this and more specific courses arise! :),5
85759,"Very basic, but I guess it is what is intended to be. Still worthy.",4
85760,Very insightful content with good presentation.,5
85761,Excellent and useful materials and knowledgeable Lecturer,5
85762,I enjoyed this course materials and tutorials.,5
85763,Wonderful content..!!,5
85764,The teacher could be more enthusiastic because sometimes it turned boring.,3
85765,Great teacher! Lot's of info and knowledge!,5
85766,This was very nice course. Explained in simple language for beginners.,5
85767,A good class to review the basics with just the right amount of the key information.,4
85768,"Perfect lecturer, I like the way of giving information, just perfect, and nice useful materials",5
85769,I have learned a lot in this course and it will help me in my new career in Project Management thank you to the professor,4
85770,“The method of teaching was fantastic. The assignments were well made and portioned appropriately. The instructor was knowledgeable. The class material was splendid and made the class enjoyable overall. I would strongly recommend this instructor & Course to any other student.”,5
85771,"Great, thanks!",5
85772,The course is very straight forward and the information is clear.,4
85773,"The Project Management: The Basics for Success is indeed a very informative course especially for a starter and as a refresher course. The instructor, Rob Stone, PMP, M.Ed. delivered the course so perfectly! He is definitely a guru in the subject of Project Management. I liked his delivery: he met you where you are; and he is also likeable. His instruction felt like one-to-one and tailored to learners at different levels. I will definitely take another course with him! You can tell he teaches from his heart, and he was very prepared and the lessons flow was seamless. Thanks Rob Stone, PMP, M.Ed. for your dedication. The course is worth taking.",5
85774,very basic,2
85775,"Learned very little. Doesn't actually teach anything, but gives some tips by talking, the stuff that you can find by using google and clicking on the first link that appears. Some material gets repeated throughout the course. Quizzes are a joke really.",1
85776,The course is very basic. I am hope that it gets into more detail as the specialization continues. Instructor is very good.,4
85777,Perfect,5
85778,Fantastic high level introduction to Project Management,5
85779,"I get bored easily, but he made me watch the videos till I got it :)",5
85780,A great course! Marvelous! Thanks a lot!,5
85781,"I really like this course, it broke down the concepts in each unit to a very understandable manner. And the examples for each of the cases in play were a great resource, in my opinion. Thank you very much.",5
85782,"very informative, but wish we assignments that would be graded to put the theory in practice",4
85783,This course very good,5
85784,Great Course!,5
85785,Great course to understand the basic aspects for project management.,5
85786,"AWESOME COURSE , I WOULD LIKE TO SUGGEST THIS COURSE TO OTHERS.",5
85787,"A good overall module with interesting Information that can be applied to every-day work routine. Also the PDFs that accompany each week's module are very good and you can prin out and keep them for future reference. If I have to make a negative comment is that I have found the tests too easy to pass, however, the important is that w",4
85788,Very simple to understand.,4
85789,This course helps me a lot for my carrier success.,5
85790,Very helpful course with many interesting concepts on how to manage projects.,4
85791,"Amazing knowledge driven course by Amazing person , i will recommend this course to every oneToo Good Rob Stone (y)",4
85792,"It was too great to take this course, it helpme to improve my skills and give excelents tools",4
85793,"As a new operations supervisor, eyeing a PMO position in the future, this course has greatly given me an idea and good foundation of what Project Management is all about. This course has all the more sparked my interest in the field and would definitely pursue it one way or another. The instructor was very engaging, gave good illustrations/examples for every topic/sub-topic. I like how fluently he spoke of the subject/course and made things simple to understand. Thank you Coursera for this venue to learn more!",5
85794,Great content,5
85795,Very good. Even as a reasonably experienced PM I learned a few extra things.,4
85796,Short and sweet. Very informative indeed.Thank you Coursera!,5
85797,thank you for sharing,5
85798,Great course. It's helping a lot.Thank you so much!,5
85799,Very interesting course.,5
85800,"I enjoy the humor of the instructor and the ease of his presentation. Now, I just need to become familiar with the vocabulary of this industry. Nice job!",4
85801,Nice introduction into Project Management.,5
85802,This was a difficult course for me. I don't have a background in a field that required me to have been involved in projects of the scope that was commonly discussed. I will definitely be reviewing what I learned and look into the resources in more detail. I do think that many of the community service projects that I am often involved in will benefit from a bit more planning and team management. This will give me a solid foundation to work from.,4
85803,awesome and informative course,5
85804,"I think should be more lessons with less time, like the first modules.But the content is great!",4
85805,"The content was well explained but a bit ""light"".",3
85806,I really like this course it is very pratical,5
85807,This is course will be Perfect if More Tools of Teach Found,4
85808,"Great Course, Professor Bob make it comprehensive, thank you !",5
85809,"By this lesson, I can more learn about communication skill and method to manage many other project. I think this lesson is the best to make people's project management skiil. Thank you for professor:",5
85810,Overview with key terminology and process information. Good introduction and/or refresher.,3
85811,"Very clear course, well structured. A lot of valuable information for the beginners.",5
85812,"quite easy, good for beginners",4
85813,I gained exceptional knowledge and understanding of the subject. Now I have an idea how to immediately implement this knowledge in my current setting.,5
85814,Very well developed and structured course. Thank you. I was taking other courses related to PM but this one is the best due to its reliance on PMI requirements and definitions. This course helped me a lot during my preparation on obtaining a PM certification.,5
85815,Very good to know the general concept of project mamagement,5
85816,"Great course, everyone should be required to take courses like this one.",5
85817,it's really helped me in my work.,5
85818,"The information is quite useful, but they are not provided in an organised way. Sometimes, I got confused because of overlapping materials. However, in general, it's a good course to have an overview and some useful tools of project management.",3
85819,"Pretty Simple stuff - but would've been better if there was actually something we worked on in a group, or an actual project to 'plan' or gantt chart to create.",3
85820,good course for foundation,5
85821,Wish to take the career specialization course. Thank you Coursera.,5
85822,great course,5
85823,very clear and profound.,5
85824,Absolutely useful and helpful.,5
85825,great courseThanks so much,5
85826,Good course,5
85827,Great overview and basics,5
85828,I like the way of explanation and presentation,5
85829,"Excellent course, but i suggest the full version should be made available for people that want to increase their knowledge but have no fund.Good job author.",4
85830,This course is so helpful for our career,5
85831,a great course with substantial amount of information about project management.,5
85832,Wonderful overview of project management. :),5
85833,"great explanations, a lot of useable information in every module, and plain language to make even convoluted items seem easily within grasp. I'm grateful I was able to take this course",5
85834,It's a good course. It is very simple. It's just exposition and quizzes. Great for beginners.,3
85835,Basic but useful!,4
85836,Great level of detail and information.,3
85837,Great for starter,5
85838,Very much explanatory and easily understandable.,4
85839,Nice Instructor and course content... Loved doing this course.,4
85840,This course was so dry.... I could barely keep myself engaged. I know project management is not that boring. :(,2
85841,"a wow, even though i went through formal project management training this is so simple and straightforward",5
85842,"This course gives a concise intro to the basics of project management, largely based on PMI PMBOK guide. The course is useful to get acquainted with or refresh knowledge on project management principles. It would be nice if auditing students could also do the quizzes (even if without marks) to self-check and complete the course. As is, I was unable to find a way to ""complete"" in a way that would move the course from enrolled to completed on my profile.",4
85843,Such a great class.,5
85844,Filled with meaningful and helpful insights!,4
85845,It has provided me a structure on what Project Management is. I have all the practice but the theoretical framework capturing Project Management has been well explained in this course.,5
85846,Impossible to navigate to the course material. Took my payment but insists on another payment before it will let me submit an assignment. Very frustrating. I am about to request a refund.,1
85847,"I have just finished the course. The course professor has used real life cases to link up with the course material which helps students to connect well with the concepts being used. Very useful for those who are getting into project management but have not done any specific certification around project management.In fact, I would recommend this course to all those getting into jobs as a bit of project managements does impact all of us even if we are not driving any project. Knowledge about project managements basics will enable us to contribute better towards successful completion of projects.",4
85848,Amazing course. A must recommended course for a New manager.Prof. Rob Stone has very well explained basic fundas of PM in simplistic language.,4
85849,Speak too fast and lack of interaction in the first 3 modules.,3
85850,This was extremely useful. It contains much needed structure. You can apply this to anything you want to accomplish and it will get you there.,5
85851,Thanks for the training... very helpful,5
85852,Very basic,1
85853,Too much theory. Complete course.,4
85854,"As a project adviser, I learnt a lot from this course. It was very practical and relevant for me.",5
85855,really help me to understand the project management process and principle,5
85856,Great course.,5
85857,No enthusiasm to hold attention but good content,3
85858,Very basic. I guess if you have no education or experience its good.,1
85859,"Course with good content and overview of project management, albeit being a bit too simplistic.",4
85860,very good course,5
85861,"Excellent course, some things went strengthening as it only had some practical skills and theory is now clearer to me.",5
85862,Very good teaching style,5
85863,"The teacher gave us simple and integrated conceptions about PM. He illustrated us many useful tools which could help people to understand the project. In a word, it is worthy to have this class.",5
85864,Basic and clear,4
85865,"Thank you very much for the great course! Very useful information not only in the PM area, but also in the management in general. Also very good flexible approach with moving deadlines, as sometimes it is very difficult to find time among busy schedule to listen to the course.",5
85866,"It`s great course , content many information and great Doctor",5
85867,Gave all the basics I wanted to go through plus a very insightful way of conveying them. Loved the teacher,5
85868,Detailed understanding provided to the concepts of effective Project Management.,4
85869,Good effort from Prof Stone in providing as much real-life relevance to the course.,3
85870,"Good teacher !Introduce the basic of engineering project including the elements of the engineer, WBS, how to be a good project manager and so on.Very helpful for the beginners.What I suggest is the teacher could use more gesture or facial expression or more vivid examples rather than cilck the mouse and just read the PPT.Anyway, that's helps me have a rough view of the PM, thank you!",5
85871,very good summary/introduction,5
85872,I enjoyed myself. The course gave me a holistic view of project management.,5
85873,This course is very helpful e.g. to the freshman.,5
85874,Very useful course,5
85875,It is an ideal course starting from the most basic level but ultimately provides you with every essentials to succeed in understanding how to manage a project.,5
85876,"That is a great course of Project Management, it is being a excelent introduction to PMBOK!",5
85877,"its good course,My only note is the instructor talk real fast",4
85878,"Clear, concise instruction. Easy-to-follow examples. Highly recommended.",5
85879,very helpful in the understanding of PMP. I am taking this basics course to determine if i want to enroll in the full PMP courses.,5
85880,"I really enjoyed this course. While some of the information was not necessarily new to me, the wealth of examples made everything clearer. I can't wait to try to apply what I have learned.",5
85881,"Quick and precise....touched on some crucial aspects , especially team building and working with difficult people ! Thank you !",4
85882,"Excellent guidance, easy to understand. Thank you!!",5
85883,great intuition on how to be successful in your task ahead,5
85884,The courseware has broken the actual lifecycle of a project in very simple and easy to understand manner .,4
85885,Very clear and concise course. Maybe a bit to basic. Good for introduction purposes,4
85886,"great course, good amount of information which is explained well",5
85887,a great course to learn some fundmentals of project management. recommended.,5
85888,Great course!! Very informative and easy to navigate. I learned more than i thought i would taking this course.,5
85889,Interesting and very clearly explained!,5
85890,Great!,5
85891,Good course. Found it simple and easy to understand. Very practical tips and advice. Thanks.,4
85892,Real good Co,5
85893,The course give us a brief idea of how we should manage a project. Very good!,5
85894,"Great course. I would have distributed more consistently the content through the weeks, as week four had significantly more than the other three.",4
85895,"It has very good content, specially if you are looking for basic concepts, you can find those here, although it doesn't go deeply on them, gives you what you need to get started, it's a fast pace so you have to keep up, and use of side materials/web to complement the course.",4
85896,Useful course for applying,4
85897,"Great course, presented in a clear an professional manner. Good examples and pointing to proper additional material.I just do not understand why the work load in the last week is very large compared to the three previous weeks. Still, I enjoyed it.",5
85898,Good introductory course.,5
85899,I loved the course. Looking forward to the doing the specialization. My goal is PMP.,5
85900,Amazing course,5
85901,It has been a good overview about how to manage projects. At this level it could be useful also for personal projects and not necessarily for professional ones,4
85902,Very good course.,5
85903,Great skills to learn!,4
85904,"I´m loving the classes, it is all information that I´m need for a work I´m starting now. Thanks!",5
85905,It would be nice to encurage the students to use a project they are working on to apply the knowlegde while still taking the course.,4
85906,"I learned a lot with this course. The Teacher is great!! .I don´t know how to see the quiz result, to search my wrong answer .Thank you!",5
85907,Great!,5
85908,Great course.Helped to outline helpful issues in project management.,5
85909,very basic,2
85910,Good overview of project management. Well presented and good examples. Would suggest it as must intro for people who will study project management more in depth and people who work in the non profit sector who may be called upon to organize projects.,4
85911,I enjoyed the overview of project management and the detailed explanations that were immediately helpful in my work. Lots of great information! Many things for me to think about over a long time,5
85912,Very well structured.,5
85913,"Really helpful for the beginners and professionals , Instructor is really knows what he is teaching and is really professional. I recommend this course to all the people looking for guidelines regarding Project Management.",5
85914,I love this course. Very specific. With tons of practical information. Good examples.,4
85915,I recommend it to everyone.,5
85916,Great course in general. Material is not evenly spread in all 4 weeks. 4th week material takes 4 times longer to cover than any of the previous weeks.Last quiz has an error. The right answer is taken as incorrect.,4
85917,Highly valuable.I had none knowledge about the topic and it was quite helpful to understand and apply later to my job.,5
85918,Pretty boring and quite hard to follow. Not all subjects in the quizzes were covered in the study material provided or in the lessons,2
85919,Awesome Course!! With the principles shown here i was able to move up onto Management!!Thanks UC Irvine,5
85920,Interesting and excellent for knowledge integrated.,5
85921,"Good, could be better.",4
85922,Very informative course. Recommended.,5
85923,Gives a good overview of project management. Useful as a first course for project manager wannabes.,4
85924,Excellent Loved it ! It doesnt cover all topics involved ofcourse but it was right for me . I just wanted to enhance my knowledge on the basics since i was learning Oracle's Primavera P6 Enterprise Project Portfolio Management .,5
85925,"I learned more about project management from a different course, which was about the Business of Games.",3
85926,"Some more example, practical exercises would be nice to add.",4
85927,The course offers a basic outline of the project management without going into details,4
85928,the basic knowledge in PM,5
85929,Simple but quite informative. Useful for my work now.,5
85930,It was awesome!,5
85931,"University of california, irvine know how to make online classes realistic for the user.",4
85932,Must learn for Project Manager and associate working with Project field.,5
85933,"Explain the basic knowledge of project management in a easy way, I love it.",5
85934,It's a good training to do your project by your way.,5
85935,"Rob Stone does an excellent job at covering key elements of Project Management. As a supplemental course, I have used this knowledge to strengthen my understanding and application of the topic.Thank you",5
85936,Great Course,5
85937,good foundational couse,4
85938,This course was simple but very pratical and easily learnable.,4
85939,Interesting and useful course.,5
85940,Course covers the basics and key terminologies related to PMP.It will be useful to have a few numericals/assignments to calculate Duration/Time using different methods and the associated impact of cost.,4
85941,"Excellent beginner course as many tasks in life are mini projects...some not so mini... Time-bound, unique deliverables organized in a way to keep all stakeholders informed along the way.",4
85942,"Excellent course structure. Excellent tutor. Most importantly, the course closely followed the PMBOK.",5
85943,"Love it, and will be helpful for the project of local destination marketing organization, which i will be the Project manager, many thanks for this opportunity!",5
85944,"Great course for beginners, easy way in learning and understanding the basics of Project Management.",5
85945,"Clear explanations, easy to follow and put the knowledge into practice. Nicely edited videos, useful supplemental materials.",5
85946,Thanks University of California - Irvine to create a great program with a lot of necessary knowledge in project management. But I wish that I will can reach and have more in-depth knowledge related to project manager. But I think that when we get and can apply it to my jobs in nature will be it better than. Thank Profession Rob Stone very much.Minh Cuong ( a student come from Viet Nam),4
85947,Good One!!!,5
85948,Good introduction to Project Management. Many subjects were covered but there was a possibility to add details into some of them.,4
85949,I enjoyed the course,4
85950,gr8 course with basic details,5
85951,"Great professors, thank you so much.",5
85952,Great intro !,4
85953,Great basic overview of the role of project management.,4
85954,Excellent course..Tests were helpful and overall great basics to understand for project management.,5
85955,"It has a good level, but there is room for improvement. Keep on the good work! Thanks!",3
85956,"Thank you so much University Of California, Irvine this class has been one of my favorite since I've joined Coursera. In the course I've learn so much about project management & everything related to this subject. One of my favorite part of this course is when I can take the quiz as many times as I want in order for me to get right & pass the course.Thank you so much University Of California, Irvine & CourseraKeep up the good work.",5
